epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1001.14,1.51731,1.87137,1.60441,0.57601,0.57028,0.51675,0.31597,1.40849,1.37743,1.5134,0.00079705,0.00079705,0.00079705
43,1024.7,1.52385,1.86794,1.60991,0.65482,0.54509,0.56547,0.34414,1.38388,1.37668,1.49932,0.0007921,0.0007921,0.0007921
44,1048.3,1.51202,1.8648,1.60969,0.65629,0.56164,0.58097,0.34799,1.39552,1.31723,1.51172,0.00078715,0.00078715,0.00078715
45,1072.08,1.50201,1.83229,1.58417,0.64532,0.5631,0.54229,0.33771,1.42493,1.36099,1.51119,0.0007822,0.0007822,0.0007822
46,1095.62,1.50289,1.822,1.58953,0.63689,0.53823,0.53584,0.34083,1.37258,1.34299,1.49639,0.00077725,0.00077725,0.00077725
47,1118.96,1.48257,1.82134,1.57881,0.58914,0.48541,0.52936,0.33136,1.37092,1.3518,1.48359,0.0007723,0.0007723,0.0007723
48,1142.34,1.48886,1.80486,1.57652,0.60953,0.52887,0.53352,0.31378,1.44588,1.40536,1.51156,0.00076735,0.00076735,0.00076735
49,1165.71,1.47478,1.80475,1.57706,0.6462,0.49536,0.54379,0.3477,1.33525,1.31826,1.45134,0.0007624,0.0007624,0.0007624
50,1189.3,1.48211,1.80458,1.5731,0.58862,0.48318,0.52636,0.31784,1.41013,1.35649,1.50088,0.00075745,0.00075745,0.00075745
51,1212.74,1.46122,1.76302,1.55839,0.56596,0.56211,0.55599,0.34063,1.3642,1.33496,1.48218,0.0007525,0.0007525,0.0007525
52,1236.3,1.4638,1.77806,1.56759,0.62468,0.55821,0.54531,0.33411,1.34581,1.27551,1.45922,0.00074755,0.00074755,0.00074755
53,1260.01,1.46156,1.75135,1.55582,0.56033,0.55191,0.54035,0.33555,1.39417,1.29979,1.49312,0.0007426,0.0007426,0.0007426
54,1283.67,1.44891,1.75745,1.55122,0.60751,0.58838,0.57995,0.35754,1.3523,1.27574,1.4651,0.00073765,0.00073765,0.00073765
55,1307.1,1.44087,1.73237,1.54988,0.687,0.53766,0.57855,0.36181,1.31871,1.26271,1.46051,0.0007327,0.0007327,0.0007327
56,1330.37,1.44047,1.71953,1.53729,0.67813,0.53478,0.55936,0.36926,1.36327,1.29918,1.4774,0.00072775,0.00072775,0.00072775
57,1353.79,1.44716,1.72619,1.54103,0.6145,0.56529,0.5539,0.35763,1.33903,1.29097,1.44841,0.0007228,0.0007228,0.0007228
