epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,4260.24,1.12841,1.21814,1.30924,0.68803,0.64478,0.64586,0.45055,1.19195,1.12174,1.32365,0.0001189,0.0001189,0.0001189
180,4285.75,1.13273,1.22259,1.31383,0.69184,0.65124,0.65671,0.45681,1.18898,1.08659,1.32365,0.00011395,0.00011395,0.00011395
181,4310.89,1.13592,1.23531,1.31838,0.67484,0.65992,0.65795,0.4527,1.17603,1.08453,1.31726,0.000109,0.000109,0.000109
182,4334.76,1.12187,1.21824,1.31076,0.66159,0.672,0.66397,0.45843,1.18099,1.07809,1.31821,0.00010405,0.00010405,0.00010405
183,4358.5,1.13114,1.21165,1.30919,0.70869,0.62772,0.65302,0.45854,1.16447,1.08943,1.30886,9.91e-05,9.91e-05,9.91e-05
184,4382.34,1.12831,1.22352,1.31825,0.66944,0.65331,0.65032,0.45353,1.16975,1.08941,1.31055,9.415e-05,9.415e-05,9.415e-05
185,4405.74,1.12288,1.20635,1.30769,0.68424,0.65723,0.65374,0.45685,1.17337,1.08497,1.31618,8.92e-05,8.92e-05,8.92e-05
186,4430.55,1.11469,1.20241,1.30368,0.69392,0.66008,0.65295,0.45209,1.18051,1.0921,1.31848,8.425e-05,8.425e-05,8.425e-05
187,4455.23,1.12543,1.21134,1.30547,0.67797,0.66083,0.65714,0.45492,1.19004,1.08833,1.32366,7.93e-05,7.93e-05,7.93e-05
188,4480.24,1.10461,1.20029,1.30618,0.70546,0.64361,0.66164,0.45545,1.1713,1.08256,1.31327,7.435e-05,7.435e-05,7.435e-05
189,4504.99,1.12145,1.21685,1.30975,0.70208,0.63509,0.65991,0.45936,1.1734,1.07804,1.31747,6.94e-05,6.94e-05,6.94e-05
190,4529.87,1.10132,1.19101,1.2954,0.69004,0.65317,0.65988,0.45788,1.16419,1.06934,1.30906,6.445e-05,6.445e-05,6.445e-05
191,4580.76,1.07845,1.07619,1.31,0.70315,0.633,0.66182,0.45366,1.18354,1.0758,1.3154,5.95e-05,5.95e-05,5.95e-05
192,4604.97,1.04618,1.00548,1.27001,0.68634,0.64287,0.66306,0.45017,1.19014,1.07844,1.32357,5.455e-05,5.455e-05,5.455e-05
193,4629.09,1.0487,1.01108,1.27679,0.70208,0.63301,0.66474,0.45482,1.18846,1.07881,1.32043,4.96e-05,4.96e-05,4.96e-05
194,4653.53,1.04541,0.99236,1.26989,0.7216,0.63753,0.66506,0.45394,1.20021,1.07791,1.32432,4.465e-05,4.465e-05,4.465e-05
195,4677.68,1.03093,0.98552,1.26872,0.69738,0.64232,0.66054,0.45105,1.19992,1.08381,1.32218,3.97e-05,3.97e-05,3.97e-05
196,4701.95,1.02653,0.97957,1.26358,0.68486,0.65252,0.66036,0.45636,1.19101,1.08286,1.31816,3.475e-05,3.475e-05,3.475e-05
197,4725.81,1.03176,0.98118,1.25875,0.67609,0.64443,0.65808,0.45299,1.19354,1.0872,1.32014,2.98e-05,2.98e-05,2.98e-05
198,4750.1,1.02397,0.9721,1.254,0.70059,0.62363,0.65991,0.45628,1.19133,1.08231,1.31835,2.485e-05,2.485e-05,2.485e-05
199,4773.91,1.01926,0.97958,1.25991,0.70423,0.62765,0.65979,0.45646,1.19577,1.07797,1.31937,1.99e-05,1.99e-05,1.99e-05
200,4798.14,1.01444,0.95774,1.24888,0.70142,0.63929,0.66113,0.45734,1.19016,1.07535,1.31735,1.495e-05,1.495e-05,1.495e-05
